ANNOSCOLASTICO,PROVINCIA,ORDINESCUOLA,TIPOPOSTO,FASCIAETA,DOCENTITITOLARIMASCHI,DOCENTITITOLARIFEMMINE
201617,PISTOIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,3,37
201617,SIENA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,34,155
201617,PRATO,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,98
201617,ENNA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,1
201617,PORDENONE,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,218,278
201617,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,73,148
201617,COSENZA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,33
201617,PISTOIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,2
201617,CARBONIA-IGLESIAS,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,9
201617,LATINA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,1,50
201617,TREVISO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,15,46
201617,MEDIO-CAMPITANO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,3,14
201617,SIENA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,68,161
201617,COMO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,10
201617,PAVIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,14,41
201617,VERONA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,324,731
201617,MILANO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,27
201617,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,6,33
201617,BARLETTA-ADRIA-TRANI,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,2,274
201617,RAVENNA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,193,347
201617,CATANIA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,109,451
201617,BELLUNO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,112
201617,ROMA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,315,1453
201617,MODENA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,22,75
201617,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,5
201617,MANTOVA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,31,195
201617,BARI,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,16,351
201617,ROVIGO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,37,81
201617,PIACENZA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,5
201617,ORISTANO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,4
201617,BENEVENTO,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,2
201617,OLBIA-TEMPIO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,3,6
201617,CALTANISSETTA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,164,317
201617,UDINE,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,74,371
201617,TARANTO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,18,75
201617,MACERATA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,26
201617,FROSINONE,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,20
201617,MESSINA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,53,1158
201617,SIRACUSA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,1
201617,PADOVA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,5,15
201617,ANCONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,18,62
201617,TORINO,SCUOLA INFANZIA,NORMALE,OLTRE 54,2,920
201617,GROSSETO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,8
201617,AGRIGENTO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,10,329
201617,AVELLINO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,60,163
201617,FOGGIA,SCUOLA INFANZIA,NORMALE,FINO A 34,0,9
201617,MANTOVA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,23,53
201617,MASSA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,6,17
201617,VERCELLI,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,15,96
201617,LA SPEZIA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,117,263
201617,NUORO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,9,12
201617,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,4,22
201617,TERAMO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,8,6
201617,LIVORNO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,4
201617,VARESE,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,36,851
201617,LUCCA,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,261
201617,COMO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,12,30
201617,ROMA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,529,2529
201617,RIETI,SCUOLA INFANZIA,NORMALE,FINO A 34,0,7
201617,ASCOLI PICENO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,2
201617,POTENZA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,4,76
201617,CROTONE,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,5,19
201617,CREMONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,26,70
201617,PRATO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,23
201617,PIACENZA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,9
201617,ISERNIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,34,72
201617,PAVIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,8,16
201617,OLBIA-TEMPIO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,2,4
201617,MASSA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,8,244
201617,CAMPOBASSO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,7
201617,AREZZO,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,3
201617,LA SPEZIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,4,14
201617,TRIESTE,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,19,65
201617,VENEZIA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,20,566
201617,MATERA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,1,0
201617,SAVONA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,9,304
201617,UDINE,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,1,55
201617,AGRIGENTO,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,8,67
201617,CUNEO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,10,26
201617,PERUGIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,99,267
201617,TREVISO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,1,248
201617,BARI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,43,204
201617,ALESSANDRIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,45,97
201617,SALERNO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,39
201617,RAGUSA,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,304
201617,LIVORNO,SCUOLA PRIMARIA,NORMALE,OLTRE 54,10,425
201617,ENNA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,7,3
201617,PAVIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,3,2
201617,AREZZO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,46,204
201617,VITERBO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,10,39
201617,VITERBO,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,5
201617,PISTOIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,21,70
201617,BRINDISI,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,229
201617,MILANO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,59,191
201617,GENOVA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,17,72
201617,BENEVENTO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,3,7
201617,MESSINA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,316,626
201617,ASTI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,7,16
201617,LODI,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,11,14
201617,CATANIA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,3,56
201617,BELLUNO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,23,66
201617,ASCOLI PICENO,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,6,307
201617,NAPOLI,SCUOLA INFANZIA,NORMALE,OLTRE 54,5,2576
201617,IMPERIA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,13
201617,CASERTA,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,13
201617,BRESCIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,17,180
201617,MEDIO-CAMPITANO,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,3,38
201617,TRIESTE,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,32,155
201617,MODENA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,3,56
201617,CHIETI,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,83,278
201617,IMPERIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,6,21
201617,VERCELLI,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,96
201617,FOGGIA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,41
201617,LODI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,5,16
201617,GORIZIA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,3,99
201617,TARANTO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,43
201617,SALERNO,SCUOLA PRIMARIA,NORMALE,FINO A 34,2,10
201617,MONZA E BRIANZA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,19
201617,PALERMO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,37,273
201617,PADOVA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,121,223
201617,ANCONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,11,32
201617,VENEZIA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,4,7
201617,REGGIO CALABRIA,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,25
201617,COSENZA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,14,346
201617,MONZA E BRIANZA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,165,556
201617,LECCE,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,1,43
201617,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,8,20
201617,VARESE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,28,77
201617,LIVORNO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,105,184
201617,PORDENONE,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,0,28
201617,IMPERIA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,3
201617,BRESCIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,21,53
201617,TORINO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,35
201617,BIELLA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,99
201617,FERRARA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,4
201617,BERGAMO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,19
201617,CREMONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,19,37
201617,RIMINI,SCUOLA PRIMARIA,NORMALE,OLTRE 54,7,302
201617,CATANIA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,9,280
201617,ASCOLI PICENO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,14
201617,MODENA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,64,371
201617,POTENZA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,2,28
201617,ASTI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,9,21
201617,CHIETI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,23,88
201617,NAPOLI,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,72
201617,UDINE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,8,25
201617,BARI,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,17,788
201617,PRATO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,3,6
201617,TORINO,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,415,1370
201617,TREVISO,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,194
201617,LATINA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,2,11
201617,LUCCA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,25,540
201617,VERONA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,5
201617,TREVISO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,19,87
201617,BIELLA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,69
201617,ORISTANO,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,119
201617,BELLUNO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,7,20
201617,GENOVA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,5
201617,VERONA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,80,365
201617,FORLI'-CESENA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,12,329
201617,PAVIA,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,178
201617,FERMO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,5,14
201617,REGGIO EMILIA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,12
201617,LA SPEZIA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,7,234
201617,MANTOVA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,8
201617,VENEZIA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,236,502
201617,TORINO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,378,667
201617,FERRARA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,9
201617,MATERA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,17
201617,MANTOVA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,5,81
201617,LODI,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,71
201617,LODI,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,48
201617,OGLIASTRA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,19,53
201617,SIRACUSA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,15
201617,BOLOGNA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,68,1104
201617,ROMA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,6,1628
201617,ASCOLI PICENO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,37,123
201617,CATANIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,77,251
201617,BIELLA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,2,14
201617,FROSINONE,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,2,186
201617,PADOVA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,35
201617,PRATO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,13,16
201617,FORLI'-CESENA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,2
201617,ASTI,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,40
201617,BOLOGNA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,2,7
201617,VERCELLI,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,6,9
201617,TRAPANI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,1
201617,BENEVENTO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,1,5
201617,CUNEO,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,2
201617,LA SPEZIA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,108
201617,COMO,SCUOLA PRIMARIA,NORMALE,OLTRE 54,20,657
201617,RAGUSA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,3
201617,PRATO,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,110
201617,LATINA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,87,363
201617,ROVIGO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,9
201617,VICENZA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,10,10
201617,LATINA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,17,91
201617,ANCONA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,6,62
201617,TRIESTE,SCUOLA PRIMARIA,NORMALE,OLTRE 54,18,220
201617,LATINA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,15,782
201617,VIBO VALENTIA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,6
201617,PORDENONE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,1
201617,OLBIA-TEMPIO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,14,37
201617,MEDIO-CAMPITANO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,0,3
201617,IMPERIA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,13
201617,AVELLINO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,1
201617,CARBONIA-IGLESIAS,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,15
201617,GENOVA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,10,81
201617,MILANO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,1,48
201617,MATERA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,5
201617,FIRENZE,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,4,470
201617,LUCCA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,292,443
201617,CATANZARO,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,393,558
201617,BELLUNO,SCUOLA INFANZIA,NORMALE,FINO A 34,0,11
201617,FERMO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,1
201617,ALESSANDRIA,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,28
201617,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,55,291
201617,MODENA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,111,358
201617,CASERTA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,28
201617,TREVISO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,8,7
201617,MONZA E BRIANZA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,11,1041
201617,VITERBO,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,1,77
201617,VIBO VALENTIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,109,184
201617,COMO,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,24,531
201617,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,9,31
201617,TREVISO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,10,22
201617,IMPERIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,2,29
201617,TORINO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,90,242
201617,BIELLA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,105
201617,ORISTANO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,5
201617,PAVIA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,1,9
201617,ASTI,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,4
201617,ROVIGO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,1,1
201617,CATANIA,SCUOLA PRIMARIA,NORMALE,FINO A 34,1,39
201617,ASCOLI PICENO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,12,27
201617,CALTANISSETTA,SCUOLA INFANZIA,NORMALE,FINO A 34,0,1
201617,MEDIO-CAMPITANO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,15
201617,MASSA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,3
201617,LUCCA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,2,178
201617,COMO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,1,2
201617,OGLIASTRA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,5
201617,LODI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,1
201617,VIBO VALENTIA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,1,3
201617,POTENZA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,1,27
201617,PAVIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,2,39
201617,MESSINA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,46,111
201617,MILANO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,85,246
201617,BIELLA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,2
201617,CARBONIA-IGLESIAS,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,76
201617,VENEZIA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,10
201617,CROTONE,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,33
201617,PISA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,13,517
201617,CATANZARO,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,3,64
201617,ASTI,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,3,43
201617,PESCARA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,11,49
201617,BOLOGNA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,27
201617,LECCE,SCUOLA INFANZIA,NORMALE,FINO A 34,0,14
201617,AGRIGENTO,SCUOLA PRIMARIA,NORMALE,OLTRE 54,39,626
201617,TRAPANI,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,147,494
201617,LA SPEZIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,8,25
201617,SIENA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,3,49
201617,GROSSETO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,74,174
201617,BRESCIA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,42,1324
201617,MATERA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,35,62
201617,CAMPOBASSO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,30,85
201617,LIVORNO,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,4,186
201617,MEDIO-CAMPITANO,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,89
201617,BELLUNO,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,173,185
201617,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,3,2
201617,LECCE,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,5,74
201617,VITERBO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,1
201617,FROSINONE,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,14,45
201617,MACERATA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,15,30
201617,REGGIO EMILIA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,27,492
201617,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,2,4
201617,SALERNO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,2,78
201617,FERMO,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,47,77
201617,L'AQUILA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,250
201617,BRESCIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,13,59
201617,TREVISO,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,104
201617,BARI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,34,251
201617,PRATO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,30,138
201617,MILANO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,71,265
201617,CAMPOBASSO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,27
201617,FOGGIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,6,166
201617,BARI,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,11,20
201617,ALESSANDRIA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,73,269
201617,OGLIASTRA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,64,75
201617,ORISTANO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,1,34
201617,MANTOVA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,12
201617,PISA,SCUOLA INFANZIA,NORMALE,FINO A 34,0,14
201617,CALTANISSETTA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,48,64
201617,UDINE,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,16,39
201617,REGGIO CALABRIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,48,111
201617,SONDRIO,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,115,155
201617,CATANZARO,SCUOLA PRIMARIA,NORMALE,OLTRE 54,50,866
201617,ROVIGO,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,6,44
201617,FERMO,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,4
